problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns,norm_deviation,ema_abs_energy
dense_nuclear_fullscale,1200,2.7095980222,0.8488837842,0.1111111111,21.64,69.52,8750907,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,1300,2.7096460312,0.8486081385,-0.1666666667,21.64,69.52,9461757,3.3306690739e-16,0.0000000000
dense_nuclear_fullscale,1400,2.7096676573,0.8487295142,0.0000000000,21.64,69.52,10173997,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,1500,2.7096756591,0.8490140462,0.1666666667,21.64,69.52,10881766,2.2204460493e-16,0.0000000000
dense_nuclear_fullscale,1600,2.7096780159,0.8487756913,-0.1111111111,21.64,69.52,11604096,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,1700,2.7096780708,0.8486282527,-0.0555555556,21.64,69.52,12317096,0.0000000000e+00,0.0000000000
dense_nuclear_fullscale,1800,2.7096771700,0.8487582034,-0.1666666667,21.64,69.52,13024685,2.2204460493e-16,0.0000000000
dense_nuclear_fullscale,1900,2.7096759911,0.8485768993,-0.0833333333,21.64,69.52,13753945,2.2204460493e-16,0.0000000000
dense_nuclear_fullscale,2000,2.7096749256,0.8483174799,-0.1111111111,21.64,69.52,14495725,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,0,1.5927403563,0.8910546813,-0.0357142857,21.64,69.52,46210,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,100,1.6169405630,0.8821033223,0.1071428571,21.64,69.52,635030,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,200,1.6189134508,0.8818338436,0.2142857143,21.64,69.52,1227009,1.1102230246e-16,0.0000000000
quantum_chemistry_fullscale,300,1.6199068962,0.8781591917,0.0000000000,21.64,69.52,1803659,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,400,1.6203572410,0.8753252681,0.0000000000,21.64,69.52,2407499,1.1102230246e-16,0.0000000000
quantum_chemistry_fullscale,500,1.6205593413,0.8746543536,0.0000000000,21.64,69.52,2983489,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,600,1.6206573524,0.8749720706,-0.0714285714,21.64,69.52,3579969,0.0000000000e+00,0.0000000000
quantum_chemistry_fullscale,700,1.6206820418,0.8756447512,0.1071428571,21.64,69.52,4162308,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,800,1.6206872551,0.8758594915,0.2857142857,21.64,69.52,4751438,1.1102230246e-16,0.0000000000
quantum_chemistry_fullscale,900,1.6206875639,0.8754803622,-0.1428571429,21.64,69.52,5360208,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,1000,1.6206865788,0.8750768646,0.1071428571,21.64,69.52,5939168,0.0000000000e+00,0.0000000000
quantum_chemistry_fullscale,1100,1.6206855156,0.8751134114,-0.1071428571,21.64,69.52,6531008,0.0000000000e+00,0.0000000000
quantum_chemistry_fullscale,1200,1.6206847355,0.8757484715,-0.0357142857,21.64,69.52,7121678,3.3306690739e-16,0.0000000000
quantum_chemistry_fullscale,1300,1.6206839853,0.8757841287,-0.0357142857,21.64,69.52,7695347,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,1400,1.6206829735,0.8753905069,0.0357142857,21.64,69.52,8303057,2.2204460493e-16,0.0000000000
quantum_chemistry_fullscale,1500,1.6206819092,0.8749667393,0.1428571429,21.64,69.52,8881667,1.1102230246e-16,0.0000000000
quantum_chemistry_fullscale,1600,1.6206812501,0.8751616871,-0.1428571429,21.64,69.52,9495177,0.0000000000e+00,0.0000000000
quantum_chemistry_fullscale,1700,1.6206810137,0.8759194974,-0.0714285714,21.64,69.52,10085847,0.0000000000e+00,0.0000000000
quantum_chemistry_fullscale,1800,1.6206807290,0.8756478483,0.0714285714,21.64,69.52,10665266,1.1102230246e-16,0.0000000000
quantum_chemistry_fullscale,1900,1.6206801508,0.8751696965,0.1071428571,21.64,69.52,11270616,1.1102230246e-16,0.0000000000
quantum_chemistry_fullscale,2000,1.6206796470,0.8749312642,0.2142857143,21.64,69.52,11858826,0.0000000000e+00,0.0000000000
quantum_chemistry_fullscale,2100,1.6206796268,0.8753243009,-0.1785714286,21.64,69.52,12442136,2.2204460493e-16,0.0000000000
spin_liquid_exotic,0,2.5946963080,0.9229967179,0.0500000000,21.64,69.52,75060,2.2204460493e-16,0.0000000000
spin_liquid_exotic,100,2.6017998853,0.9244165334,0.2666666667,21.64,69.52,1263519,0.0000000000e+00,0.0000000000
spin_liquid_exotic,200,2.6028283002,0.9230052074,-0.0833333333,21.64,69.52,2468759,2.2204460493e-16,0.0000000000
spin_liquid_exotic,300,2.6030620299,0.9196391821,0.0500000000,21.64,69.52,3654918,3.3306690739e-16,0.0000000000
spin_liquid_exotic,400,2.6031574718,0.9185683168,0.1000000000,21.64,69.52,4833998,2.2204460493e-16,0.0000000000
spin_liquid_exotic,500,2.6032100120,0.9184021978,-0.1333333333,21.64,69.52,6299568,2.2204460493e-16,0.0000000000
spin_liquid_exotic,600,2.6032553859,0.9181760855,0.0500000000,21.64,69.52,7462108,0.0000000000e+00,0.0000000000
spin_liquid_exotic,700,2.6032950886,0.9171482489,-0.0166666667,21.64,69.52,8648697,4.4408920985e-16,0.0000000000
spin_liquid_exotic,800,2.6033248527,0.9164031382,-0.1000000000,21.64,69.52,9810387,1.1102230246e-16,0.0000000000
spin_liquid_exotic,900,2.6033436045,0.9162222528,-0.0333333333,21.64,69.52,10981386,1.1102230246e-16,0.0000000000
spin_liquid_exotic,1000,2.6033551237,0.9163175590,0.0833333333,21.64,69.52,12175276,0.0000000000e+00,0.0000000000
spin_liquid_exotic,1100,2.6033620547,0.9163687922,-0.0333333333,21.64,69.52,13341375,1.1102230246e-16,0.0000000000
spin_liquid_exotic,1200,2.6033664496,0.9164884242,-0.2000000000,21.64,69.52,14513325,1.1102230246e-16,0.0000000000
spin_liquid_exotic,1300,2.6033697429,0.9165952224,0.0166666667,21.64,69.52,15677075,0.0000000000e+00,0.0000000000
spin_liquid_exotic,1400,2.6033727845,0.9165722535,-0.0500000000,21.64,69.52,16835724,0.0000000000e+00,0.0000000000
spin_liquid_exotic,1500,2.6033760938,0.9166438029,-0.1166666667,21.64,69.52,18022774,2.2204460493e-16,0.0000000000
spin_liquid_exotic,1600,2.6033800734,0.9166074925,-0.0500000000,21.64,69.52,19190234,0.0000000000e+00,0.0000000000
spin_liquid_exotic,1700,2.6033851605,0.9165460786,0.1166666667,21.64,69.52,20363963,2.2204460493e-16,0.0000000000
spin_liquid_exotic,1800,2.6033918872,0.9166719825,0.0833333333,21.64,69.52,21530183,1.1102230246e-16,0.0000000000
spin_liquid_exotic,1900,2.6034007209,0.9166725605,-0.1166666667,21.64,69.52,22688592,4.4408920985e-16,0.0000000000
spin_liquid_exotic,2000,2.6034114193,0.9164443307,-0.0166666667,21.64,69.52,23846372,0.0000000000e+00,0.0000000000
spin_liquid_exotic,2100,2.6034219339,0.9159970455,-0.0833333333,21.64,69.52,25051492,3.3306690739e-16,0.0000000000
spin_liquid_exotic,2200,2.6034295407,0.9156533835,-0.0333333333,21.64,69.52,26243891,2.2204460493e-16,0.0000000000
spin_liquid_exotic,2300,2.6034343599,0.9155472650,0.0166666667,21.64,69.52,27418311,0.0000000000e+00,0.0000000000
spin_liquid_exotic,2400,2.6034374139,0.9155654711,0.0666666667,21.64,69.52,28665941,1.1102230246e-16,0.0000000000
spin_liquid_exotic,2500,2.6034391697,0.9155070662,0.0833333333,21.64,69.52,29850800,0.0000000000e+00,0.0000000000
topological_correlated_materials,0,1.9282366776,0.9073320192,-0.1404958678,21.64,69.52,112480,2.2204460493e-16,0.0000000000
topological_correlated_materials,100,1.9361721666,0.9052598108,0.0578512397,21.64,69.52,1332030,2.2204460493e-16,0.0000000000
topological_correlated_materials,200,1.9378618800,0.9069988364,-0.1239669421,21.64,69.52,2512639,0.0000000000e+00,0.0000000000
topological_correlated_materials,300,1.9383890316,0.9057045049,-0.0247933884,21.64,69.52,3718229,3.3306690739e-16,0.0000000000
topological_correlated_materials,400,1.9385889546,0.9045759499,0.1074380165,21.64,69.52,4888578,0.0000000000e+00,0.0000000000
topological_correlated_materials,500,1.9386742095,0.9025076672,0.0413223140,21.64,69.52,6066588,1.1102230246e-16,0.0000000000
topological_correlated_materials,600,1.9387317292,0.8997714491,0.0413223140,21.64,69.52,7242888,1.1102230246e-16,0.0000000000
topological_correlated_materials,700,1.9387788477,0.8986282972,-0.0909090909,21.64,69.52,8437197,0.0000000000e+00,0.0000000000
topological_correlated_materials,800,1.9388167266,0.8985906007,-0.0578512397,21.64,69.52,9603157,4.4408920985e-16,0.0000000000
topological_correlated_materials,900,1.9388460693,0.8980730305,0.0082644628,21.64,69.52,10760687,2.2204460493e-16,0.0000000000
topological_correlated_materials,1000,1.9388687504,0.8973376931,0.0247933884,21.64,69.52,11916716,1.1102230246e-16,0.0000000000
topological_correlated_materials,1100,1.9388847476,0.8970644906,0.0909090909,21.64,69.52,13086196,1.1102230246e-16,0.0000000000
topological_correlated_materials,1200,1.9388951997,0.8971170922,-0.0909090909,21.64,69.52,14262415,2.2204460493e-16,0.0000000000
topological_correlated_materials,1300,1.9389016890,0.8972960921,0.0578512397,21.64,69.52,15449175,2.2204460493e-16,0.0000000000
topological_correlated_materials,1400,1.9389057194,0.8973534921,-0.0743801653,21.64,69.52,16636045,2.2204460493e-16,0.0000000000
topological_correlated_materials,1500,1.9389085047,0.8973615788,0.0578512397,21.64,69.52,17820724,2.2204460493e-16,0.0000000000
topological_correlated_materials,1600,1.9389107923,0.8973777557,-0.1239669421,21.64,69.52,19004184,2.2204460493e-16,0.0000000000
topological_correlated_materials,1700,1.9389130012,0.8974236558,0.0578512397,21.64,69.52,20210063,3.3306690739e-16,0.0000000000
topological_correlated_materials,1800,1.9389153818,0.8973845225,0.0909090909,21.64,69.52,21395403,0.0000000000e+00,0.0000000000
topological_correlated_materials,1900,1.9389181187,0.8974004962,0.1900826446,21.64,69.52,22576723,0.0000000000e+00,0.0000000000
topological_correlated_materials,2000,1.9389213933,0.8974829218,-0.0743801653,21.64,69.52,23743772,4.4408920985e-16,0.0000000000
topological_correlated_materials,2100,1.9389254267,0.8976524476,0.0247933884,21.64,69.52,24902872,4.4408920985e-16,0.0000000000
topological_correlated_materials,2200,1.9389305189,0.8977207643,-0.0413223140,21.64,69.52,26079942,1.1102230246e-16,0.0000000000
topological_correlated_materials,2300,1.9389370974,0.8977801403,0.0413223140,21.64,69.52,27283521,0.0000000000e+00,0.0000000000
topological_correlated_materials,2400,1.9389457561,0.8977961440,0.0578512397,21.64,69.52,28472441,2.2204460493e-16,0.0000000000
correlated_fermions_non_hubbard,0,2.1173963541,0.8749322244,0.1333333333,21.64,69.52,52380,1.1102230246e-16,0.0000000000
correlated_fermions_non_hubbard,100,2.1307360638,0.8714266631,-0.2222222222,21.64,69.52,977020,0.0000000000e+00,0.0000000000
