event,timestamp_utc,timestamp_ns,pid,detail,value
METRIC,2026-03-14T06:51:35Z,229672461579272,7551,simulate_adv:sign_ratio_final,-0.0600000000
METRIC,2026-03-14T06:51:35Z,229672461609242,7551,simulate_adv:elapsed_ns,13251040.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672461644542,7551,simulate_adv,hubbard_hts_core
METRIC,2026-03-14T06:51:35Z,229672461663042,7551,simulate_adv:sites,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672461692972,7551,simulate_adv:steps,2100.0000000000
METRIC,2026-03-14T06:51:35Z,229672461722812,7551,simulate_adv:temp_K,95.0000000000
METRIC,2026-03-14T06:51:35Z,229672461752622,7551,simulate_adv:U_eV,8.0000000000
METRIC,2026-03-14T06:51:35Z,229672461782482,7551,simulate_adv:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T06:51:35Z,229672461812202,7551,simulate_adv:d_site0_step0,-0.1531025933
METRIC,2026-03-14T06:51:35Z,229672461854552,7551,simulate_adv:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T06:51:35Z,229672461884212,7551,simulate_adv:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T06:51:35Z,229672481383392,7551,simulate_adv:hubbard_hts_core,19738850
METRIC,2026-03-14T06:51:35Z,229672481423902,7551,simulate_adv:pairing_final,0.6709568146
METRIC,2026-03-14T06:51:35Z,229672481455862,7551,simulate_adv:energy_final_eV,1.9847169314
METRIC,2026-03-14T06:51:35Z,229672481503412,7551,simulate_adv:sign_ratio_final,-0.0200000000
METRIC,2026-03-14T06:51:35Z,229672481539822,7551,simulate_adv:elapsed_ns,19738600.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672481580682,7551,simulate_adv,hubbard_hts_core
METRIC,2026-03-14T06:51:35Z,229672481603872,7551,simulate_adv:sites,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672481634432,7551,simulate_adv:steps,2800.0000000000
METRIC,2026-03-14T06:51:35Z,229672481669322,7551,simulate_adv:temp_K,95.0000000000
METRIC,2026-03-14T06:51:35Z,229672481705512,7551,simulate_adv:U_eV,8.0000000000
METRIC,2026-03-14T06:51:35Z,229672481742712,7551,simulate_adv:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T06:51:35Z,229672481783212,7551,simulate_adv:d_site0_step0,-0.1531025933
METRIC,2026-03-14T06:51:35Z,229672481828022,7551,simulate_adv:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T06:51:35Z,229672481871292,7551,simulate_adv:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T06:51:35Z,229672508689561,7551,simulate_adv:hubbard_hts_core,27108879
METRIC,2026-03-14T06:51:35Z,229672508748011,7551,simulate_adv:pairing_final,0.6711904864
METRIC,2026-03-14T06:51:35Z,229672508786551,7551,simulate_adv:energy_final_eV,1.9847213329
METRIC,2026-03-14T06:51:35Z,229672508823371,7551,simulate_adv:sign_ratio_final,-0.0400000000
METRIC,2026-03-14T06:51:35Z,229672508858281,7551,simulate_adv:elapsed_ns,27108379.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672508895341,7551,simulate_adv,qcd_lattice_fullscale
METRIC,2026-03-14T06:51:35Z,229672508913981,7551,simulate_adv:sites,81.0000000000
METRIC,2026-03-14T06:51:35Z,229672508944511,7551,simulate_adv:steps,700.0000000000
METRIC,2026-03-14T06:51:35Z,229672508982551,7551,simulate_adv:temp_K,140.0000000000
METRIC,2026-03-14T06:51:35Z,229672509059341,7551,simulate_adv:U_eV,9.0000000000
METRIC,2026-03-14T06:51:35Z,229672509091831,7551,simulate_adv:local_pair_site0_step0,0.6571004364
METRIC,2026-03-14T06:51:35Z,229672509122901,7551,simulate_adv:d_site0_step0,0.0809842964
METRIC,2026-03-14T06:51:35Z,229672509160901,7551,simulate_adv:step_pairing_norm_step0,0.5799614517
METRIC,2026-03-14T06:51:35Z,229672509190641,7551,simulate_adv:step_energy_norm_step0,2.2115701842
MODULE_END,2026-03-14T06:51:35Z,229672514505521,7551,simulate_adv:qcd_lattice_fullscale,5610180
METRIC,2026-03-14T06:51:35Z,229672514536511,7551,simulate_adv:pairing_final,0.5259685411
METRIC,2026-03-14T06:51:35Z,229672514568131,7551,simulate_adv:energy_final_eV,2.2212889009
METRIC,2026-03-14T06:51:35Z,229672514597961,7551,simulate_adv:sign_ratio_final,-0.2839506173
