131988877300985,GEO_STEP,VEL_R,bfbb2541e280aa98
131988877590977,GEO_STEP,COORD_R,4023e017430a877a
131988877866109,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988878156716,GEO_STEP,VEL_R,bfbb28934cd509bf
131988878457069,GEO_STEP,COORD_R,4023dfd1bc72b88c
131988878737232,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988879033653,GEO_STEP,VEL_R,bfbb2be4ce608bc7
131988879328124,GEO_STEP,COORD_R,4023df8c2d5c2d57
131988879609095,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988879877924,GEO_STEP,VEL_R,bfbb2f366726fab1
131988880158320,GEO_STEP,COORD_R,4023df4695c6aa64
131988880488518,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988880763329,GEO_STEP,VEL_R,bfbb3288172c20f8
131988881060375,GEO_STEP,COORD_R,4023df00f5b1f430
131988881346355,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988881618266,GEO_STEP,VEL_R,bfbb35d9de73c992
131988881913377,GEO_STEP,COORD_R,4023debb4d1dcf31
131988882212369,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988882499545,GEO_STEP,VEL_R,bfbb392bbd01bff0
131988882774765,GEO_STEP,COORD_R,4023de759c09ffd0
131988883102216,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988883398029,GEO_STEP,VEL_R,bfbb3c7db2d9cffd
131988883675011,GEO_STEP,COORD_R,4023de2fe2764a6f
131988883946725,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988884238203,GEO_STEP,VEL_R,bfbb3fcfbfffc620
131988884508474,GEO_STEP,COORD_R,4023ddea20627365
131988884778000,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988885075701,GEO_STEP,VEL_R,bfbb4321e4776f3a
131988885357218,GEO_STEP,COORD_R,4023dda455ce3f00
131988885640730,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988885918059,GEO_STEP,VEL_R,bfbb4674204498a8
131988886223941,GEO_STEP,COORD_R,4023dd5e82b97184
131988886584150,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988886862633,GEO_STEP,VEL_R,bfbb49c6736b1042
131988887231812,GEO_STEP,COORD_R,4023dd18a723cf2a
131988887563974,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988887839777,GEO_STEP,VEL_R,bfbb4d18ddeea45c
131988888120991,GEO_STEP,COORD_R,4023dcd2c30d1c23
131988888422926,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988888711831,GEO_STEP,VEL_R,bfbb506b5fd323c6
131988888989985,GEO_STEP,COORD_R,4023dc8cd6751c96
131988889286050,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988889555407,GEO_STEP,VEL_R,bfbb53bdf91c5dca
131988889833767,GEO_STEP,COORD_R,4023dc46e15b949f
131988890120763,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988890401489,GEO_STEP,VEL_R,bfbb5710a9ce222f
131988890697855,GEO_STEP,COORD_R,4023dc00e3c04852
131988890989767,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988891286551,GEO_STEP,VEL_R,bfbb5a6371ec4138
131988891562117,GEO_STEP,COORD_R,4023dbbadda2fbb8
131988891912264,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988892221671,GEO_STEP,VEL_R,bfbb5db6517a8ba3
131988892490367,GEO_STEP,COORD_R,4023db74cf0372d0
131988892780778,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988893072217,GEO_STEP,VEL_R,bfbb6109487cd2ab
131988893360978,GEO_STEP,COORD_R,4023db2eb7e17190
131988893639248,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988893909988,GEO_STEP,VEL_R,bfbb645c56f6e807
131988894197741,GEO_STEP,COORD_R,4023dae8983cbbe5
131988894511403,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988894785388,GEO_STEP,VEL_R,bfbb67af7cec9dea
131988895082291,GEO_STEP,COORD_R,4023daa2701515b0
131988895477599,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988895774815,GEO_STEP,VEL_R,bfbb6b02ba61c704
131988896074097,GEO_STEP,COORD_R,4023da5c3f6a42ca
131988896374479,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988896667297,GEO_STEP,VEL_R,bfbb6e560f5a3681
131988896948003,GEO_STEP,COORD_R,4023da16063c0702
131988897242292,GEO_STEP,COORD_TH,3ff91eb851eb851f
