timestamp_ns,phase,fragment,neurons_active,cpu_ns,ink_pixels,total_pixels,ink_ratio,merkle_prefix
1771966478197601059,train,1351645019,2916668,2731046367,51200,102400,0.50000000,199e770a2d68e4f4
1771966479795935072,train,1354910392,3172074,1432805554,32768,65536,0.50000000,29bb3cb9cc3af015
1771966482810416480,train,1367329139,3388136,2734765383,51200,102400,0.50000000,96e7a54f0b1d9c6e
1771966485819267746,train,1368903217,3204071,2719910950,51200,102400,0.50000000,6c292edda4280e06
1771966488833632900,train,1369609932,3097601,2728723751,51200,102400,0.50000000,9cba24bfd9ff9e0d
1771966491829366945,train,1370134939,2034036,2705960260,51200,102400,0.50000000,59bb10c8d6e176e5
1771966494859118238,train,1379194145,2713114,2717034661,51200,102400,0.50000000,4fe2d375ecddd3fc
1771966497878772630,train,1391167593,2138136,2750412715,51200,102400,0.50000000,c3ca5a1466bb68f5
1771966500885382319,train,1395654524,2920042,2719578521,51200,102400,0.50000000,38bb0a798835237a
1771966503861668425,train,1404108352,1261111,2702680394,51200,102400,0.50000000,58355f77fe1cb557
1771966506852354607,train,1412233012,1650336,2714014193,51200,102400,0.50000000,2ccc33c2b13947ba
1771966509855243849,train,1420786524,2932599,2729016020,51200,102400,0.50000000,343d67f63a6a65b2
1771966512864715855,train,1424527489,2393540,2728100462,51200,102400,0.50000000,ccb85f8539ff3828
1771966515857992438,train,1425151232,2600622,2724805392,51200,102400,0.50000000,ad0462787b3a2c85
1771966518864299567,train,1430679851,2837669,2716911973,51200,102400,0.50000000,7604163b873ec538
1771966521882042363,train,1435658104,2730126,2732444484,51200,102400,0.50000000,bbeb2606366a8902
1771966524990795751,train,1440669255,1722539,2759520299,51200,102400,0.50000000,0d8fd13facb91c5a
1771966528021952249,train,1442179410,2693057,2746709964,51200,102400,0.50000000,158be3a33bd94724
1771966531033330524,train,1448189335,2720831,2724257082,51200,102400,0.50000000,68f021f5138e083e
1771966532647796653,train,1449602646,2781977,1447698904,32768,65536,0.50000000,1527e7752411e47d
1771966535616600413,train,1454104195,2876950,2688493322,51200,102400,0.50000000,dbfe2a8e5145e159
1771966538578223285,train,1459340749,1623160,2693955134,51200,102400,0.50000000,23b5ebfe4046237e
1771966541599762002,train,1460828631,3060031,2730884692,51200,102400,0.50000000,4e370072a688905d
1771966544632892566,train,1471460767,2615574,2739324762,51200,102400,0.50000000,7e6968c66c80af9a
1771966547634243001,train,1480691377,3016316,2724776610,51200,102400,0.50000000,022aeda7dbc83f00
1771966550607153605,train,1483500546,2500602,2698691695,51200,102400,0.50000000,953124f43c2d2952
1771966553603775712,train,149409101,3691150,2710492773,51200,102400,0.50000000,15e41ea80976ef2e
1771966556623158442,train,1497289496,2812598,2720255365,51200,102400,0.50000000,82c69e97e9245dea
1771966559615089471,train,1503030068,2937135,2727895759,51200,102400,0.50000000,46a4366f7fedf00c
1771966562642203917,train,1505524936,2658361,2744545672,51200,102400,0.50000000,8baa7b5f4ca4a6cb
1771966565658744552,train,1505792607,4116716,2716367286,51200,102400,0.50000000,5bfc44616ccbd0a1
1771966568834787248,train,1506367235,3234233,2709345374,51200,102400,0.50000000,ac4b4446f2a40a76
1771966571834929690,train,1508330045,2793048,2719888290,51200,102400,0.50000000,46018bfd62f856b4
1771966574841914728,train,1519902750,3020093,2703571597,51200,102400,0.50000000,3ddea27f51df1013
1771966577861835899,train,1522833038,3091911,2751369835,51200,102400,0.50000000,4736ac9d80924d0b
1771966580844771555,train,1524465289,2927211,2711484176,51200,102400,0.50000000,ca7081eba74b3d81
1771966583871524020,train,1526377662,2443396,2754939772,51200,102400,0.50000000,541a090fc95ed8a0
1771966586875575974,train,15307632,2939868,2709670403,51200,102400,0.50000000,406765691aeae08d
1771966588521181091,train,1531506078,3156724,1485132942,32768,65536,0.50000000,e7165cd1ae4183e0
1771966591514496392,train,1542708535,2543006,2701051973,51200,102400,0.50000000,9a1a08c333be53ea
1771966594558805964,train,1553955454,3793794,2735176568,51200,102400,0.50000000,8d005df15e0a9894
1771966597555273331,train,1556295020,2891353,2707648337,51200,102400,0.50000000,d47c89d1774ebbb0
1771966600517704533,train,1557465183,1504502,2686780636,51200,102400,0.50000000,4644c1a0e3f8fd26
1771966603527916725,train,1561013957,2875750,2732139431,51200,102400,0.50000000,485cf560175d6e6c
1771966606535907179,train,1565784049,1542879,2705584344,51200,102400,0.50000000,333a85f56b2d3ff4
1771966609515559525,train,1566185731,2988267,2707640354,51200,102400,0.50000000,afa6107068cac953
1771966612530022268,train,1577382633,1622505,2726961689,51200,102400,0.50000000,be9e906c32d931dd
1771966615541495944,train,1578248244,2678288,2720894104,51200,102400,0.50000000,b4219bc2c20373bf
1771966618567891323,train,158898728,3337492,2732062937,51200,102400,0.50000000,1e39053814d1fae0
1771966621574847224,train,1589119778,2657188,2722623761,51200,102400,0.50000000,8b855f54d885e0c2
1771966624573085201,train,159112826,2742358,2710806583,51200,102400,0.50000000,06c1769b301364a6
1771966627585657202,train,1596691633,2918125,2724727097,51200,102400,0.50000000,28a167b04e98652b
1771966630604574985,train,1603877492,3113252,2719741302,51200,102400,0.50000000,53e8c856344556ea
1771966633617874923,train,1607714040,1432800,2738863151,51200,102400,0.50000000,f750e994f6061d98
1771966636611829805,train,1612471366,2897835,2705574793,51200,102400,0.50000000,87b11cffc23adbeb
1771966639603143318,train,1613378452,3225844,2721201489,51200,102400,0.50000000,e7c25e11c4f69c10
1771966642639444778,train,1615896532,2889333,2754114803,51200,102400,0.50000000,cefb10b2c2161a7b
1771966645700780443,train,1616597122,2060458,2735371932,51200,102400,0.50000000,dc89e470eb322879
1771966648699995912,train,1625676216,3542004,2711308898,51200,102400,0.50000000,b1c28421003c14b3
1771966651754786275,train,1625909146,2821712,2744497612,51200,102400,0.50000000,7a91201e3b7afccd
1771966654868896191,train,162812671,3091654,2758008253,51200,102400,0.50000000,6ea750ff05872292
1771966657929329632,train,1634687021,2557809,2775843492,51200,102400,0.50000000,36ae9c7f63f9f7ce
1771966660961836113,train,1639956906,2918156,2760821403,51200,102400,0.50000000,d0fb122e58714649
1771966663996562774,train,1642047701,2483080,2759849431,51200,102400,0.50000000,ff0a6411bd54e836
1771966667044079627,train,164224384,2794528,2750762374,51200,102400,0.50000000,239130814dca6af0
1771966670072008775,train,1643996246,3173782,2742558793,51200,102400,0.50000000,fa7747a688d00474
1771966673147920591,train,1655876858,2877070,2793550553,51200,102400,0.50000000,49cf2191fa9aad2a
1771966676189717131,train,1662041291,2582552,2764241780,51200,102400,0.50000000,ba704b4067a223e6
1771966679236176888,train,1666298112,2702077,2774673261,51200,102400,0.50000000,7dae98d039ea0615
1771966680967249649,train,1669670049,3210117,1553324337,32768,65536,0.50000000,07f7412ced6fb4a0
1771966684009512499,train,1671010748,2354395,2770592546,51200,102400,0.50000000,97f6dafd66ce7424
1771966687037143378,train,1679790444,2953273,2750688269,51200,102400,0.50000000,5824f75414a00c80
1771966690077533391,train,1681590107,2592262,2762419773,51200,102400,0.50000000,472ea3e37a0ae9dc
1771966693152480210,train,1687829027,2791938,2782416148,51200,102400,0.50000000,c837c331527457d1
1771966696377887418,train,1693625989,3135903,2746508918,51200,102400,0.50000000,598eabf2d660f7f4
1771966699439811271,train,1693721638,3887711,2766032458,51200,102400,0.50000000,e2bbf5a1d54b0573
1771966702483214820,train,1704770049,2750504,2744457191,51200,102400,0.50000000,4b654127520cc1fa
1771966705532389167,train,1706947731,2399165,2762682435,51200,102400,0.50000000,8edd10e8c9d9b7d6
1771966708595623831,train,1715403595,2839483,2759197108,51200,102400,0.50000000,ba0385bbbe385447
1771966711613094029,train,1720613063,2769674,2743948733,51201,102400,0.50000977,1cd49c88cee66ca0
1771966714739035774,train,1722912570,1753485,2798143551,51200,102400,0.50000000,3f74318d40ee7801
1771966717780358834,train,1725830085,1847686,2767373911,51200,102400,0.50000000,3a454360a14a3acb
