step,timestamp_ns,radius_m,shell_thickness_m,v_over_c,v_m_s,negative_energy_j,power_proxy_w,feasible_now,warning,chain_hash,prev_hash
478,1772577260299802197,81.24118915403999,1.2078062277733097,0.34741883732671974,104153547.19767946,-7.982503027116504e+46,4.503331508250532e+37,False,requires_exotic_negative_energy,2a06b9fb565d8b9013552475472ae09701b94e17db13e81fd825dce854ac60ce,1c06eb5a48f7d3a442abc2d06fbc465723ebf2e6ba9fd9541f97e8a6845349cd
479,1772577260299803197,80.84250905486022,1.2006686951827896,0.3477816707235332,104262321.91355467,-7.9679545363743e+46,4.495123972777722e+37,False,requires_exotic_negative_energy,8f6dfdaf37d9125daa77c6565ef4b6ef091d9266379ac2efeb4ce4a2e798b977,2a06b9fb565d8b9013552475472ae09701b94e17db13e81fd825dce854ac60ce
480,1772577260299804197,80.35108041340641,1.193504503825521,0.34818969920551274,104384645.7751013,-7.937217934905091e+46,4.477783909719474e+37,False,requires_exotic_negative_energy,42046cfd9455597706b3e40eb6881f7e4f166ac37dbe2336cb6a30e0f286fdda,8f6dfdaf37d9125daa77c6565ef4b6ef091d9266379ac2efeb4ce4a2e798b977
481,1772577260299805197,79.82100269586665,1.1865992674030055,0.3486346098129057,104518026.61968192,-7.898568101288624e+46,4.4559795943408965e+37,False,requires_exotic_negative_energy,f960ec847fb42472e0894129b46396e0661b8ae3c47437acebb6dc085cfb87af,42046cfd9455597706b3e40eb6881f7e4f166ac37dbe2336cb6a30e0f286fdda
482,1772577260299806197,79.31063009476881,1.180228275900675,0.34910733816874806,104659747.0154462,-7.861253998035271e+46,4.434928831652535e+37,False,requires_exotic_negative_energy,c36985250afa7191602d792a4d770302fc2809976a124d72897f14f3078bc56d,f960ec847fb42472e0894129b46396e0661b8ae3c47437acebb6dc085cfb87af
483,1772577260299807197,78.87614754307621,1.1746455206449016,0.34959825315175885,104806919.62487203,-7.834299140633939e+46,4.419722240659273e+37,False,requires_exotic_negative_energy,cecb29e3582b712647747616b78d4184856ef85cc8d2cdc4754342fa2b3b0729,c36985250afa7191602d792a4d770302fc2809976a124d72897f14f3078bc56d
484,1772577260299808197,78.56538553362515,1.1700735684703292,0.3500973531157884,104956546.02987616,-7.825355310296773e+46,4.414676576056954e+37,False,requires_exotic_negative_energy,ec0fa457001faed39cb8ec20a9ca0f17b6a82613e902652ba36484dd1cb22fb1,cecb29e3582b712647747616b78d4184856ef85cc8d2cdc4754342fa2b3b0729
485,1772577260299809197,78.41255464635476,1.1666946886825291,0.35059446965814756,105105577.82002248,-7.839731628036376e+46,4.422786980078027e+37,False,requires_exotic_negative_energy,68812dfc732fa9644f9cc198d5444016e2b661c75d9f18f2c9fc0ec9c32b1e95,ec0fa457001faed39cb8ec20a9ca0f17b6a82613e902652ba36484dd1cb22fb1
486,1772577260299810197,78.43447943873059,1.164643586555969,0.3510794747853468,105250978.69924814,-7.879686981754938e+46,4.44532780501888e+37,False,requires_exotic_negative_energy,0f86bf93155e31533b5b90cba502d211ff86e0440a1599f31396cd2cfda93626,68812dfc732fa9644f9cc198d5444016e2b661c75d9f18f2c9fc0ec9c32b1e95
487,1772577260299811197,78.6287462957051,1.164002033059808,0.3515424872555605,105389786.34577815,-7.944044963824338e+46,4.481635380158658e+37,False,requires_exotic_negative_energy,2062d22ce4924f892b31d7f66eecad058fcc6f14bbfeb373b52f02da676c264b,0f86bf93155e31533b5b90cba502d211ff86e0440a1599f31396cd2cfda93626
