step,energy,invariant_density,regime
815,-3805.00,1.1463,3
816,-3825.00,1.1435,3
817,-3845.00,1.1408,3
818,-3865.00,1.1381,3
819,-3885.00,1.1354,3
820,-3905.00,1.1351,3
821,-3925.00,1.1348,3
822,-3945.00,1.1344,3
823,-3965.00,1.1341,3
824,-3985.00,1.1338,3
825,-4005.00,1.1335,3
826,-4025.00,1.1379,3
827,-4045.00,1.1352,3
828,-4065.00,1.1326,3
829,-4085.00,1.1299,3
830,-4105.00,1.1273,3
831,-4125.00,1.1270,3
832,-4145.00,1.1267,3
833,-4165.00,1.1241,3
834,-4185.00,1.1216,3
835,-4205.00,1.1190,3
836,-4225.00,1.1164,3
837,-4245.00,1.1162,3
838,-4265.00,1.1136,3
839,-4285.00,1.1134,3
840,-4305.00,1.1131,3
841,-4325.00,1.1129,3
842,-4345.00,1.1104,3
843,-4365.00,1.1079,3
844,-4385.00,1.1054,3
845,-4405.00,1.1029,3
846,-4425.00,1.1004,3
847,-4445.00,1.0980,3
848,-4465.00,1.1000,3
849,-4485.00,1.0976,3
850,-4505.00,1.0973,3
851,-4525.00,1.0949,3
852,-4545.00,1.0925,3
853,-4565.00,1.0923,3
854,-4585.00,1.0899,3
855,-4605.00,1.0897,3
856,-4625.00,1.0895,3
857,-4645.00,1.0871,3
858,-4665.00,1.0848,3
859,-4685.00,1.0824,3
860,-4705.00,1.0801,3
861,-4725.00,1.0778,3
862,-4745.00,1.0776,3
863,-4765.00,1.0753,3
864,-4785.00,1.0773,3
865,-4805.00,1.0749,3
866,-4825.00,1.0726,3
867,-4845.00,1.0704,3
868,-4865.00,1.0681,3
869,-4885.00,1.0658,3
870,-4905.00,1.0636,3
871,-4925.00,1.0634,3
872,-4945.00,1.0654,3
873,-4965.00,1.0632,3
874,-4985.00,1.0609,3
875,-5005.00,1.0587,3
876,-5025.00,1.0586,3
877,-5045.00,1.0585,3
878,-5065.00,1.0562,3
879,-5085.00,1.0561,3
880,-5105.00,1.0539,3
881,-5125.00,1.0518,3
882,-5145.00,1.0537,3
883,-5165.00,1.0536,3
884,-5185.00,1.0514,3
885,-5205.00,1.0493,3
886,-5225.00,1.0471,3
887,-5245.00,1.0470,3
888,-5265.00,1.0449,3
889,-5285.00,1.0448,3
890,-5305.00,1.0447,3
891,-5325.00,1.0467,3
892,-5345.00,1.0466,3
893,-5365.00,1.0465,3
894,-5385.00,1.0444,3
895,-5405.00,1.0443,3
896,-5425.00,1.0422,3
897,-5445.00,1.0401,3
898,-5465.00,1.0380,3
899,-5485.00,1.0379,3
900,-5505.00,1.0359,3
901,-5525.00,1.0338,3
902,-5545.00,1.0317,3
903,-5565.00,1.0317,3
904,-5585.00,1.0296,3
905,-5605.00,1.0276,3
906,-5625.00,1.0256,3
907,-5645.00,1.0255,3
908,-5665.00,1.0235,3
909,-5685.00,1.0235,3
910,-5705.00,1.0215,3
911,-5725.00,1.0214,3
912,-5745.00,1.0195,3
913,-5765.00,1.0175,3
914,-5785.00,1.0155,3
915,-5805.00,1.0135,3
916,-5825.00,1.0154,3
917,-5845.00,1.0154,3
918,-5865.00,1.0154,3
919,-5885.00,1.0134,3
920,-5905.00,1.0115,3
921,-5925.00,1.0096,3
922,-5945.00,1.0076,3
923,-5965.00,1.0057,3
924,-5985.00,1.0038,3
925,-6005.00,1.0019,3
926,-6025.00,1.0000,3
927,-6045.00,0.9981,3
928,-6065.00,0.9962,3
929,-6085.00,0.9944,3
930,-6105.00,0.9925,3
931,-6125.00,0.9906,3
932,-6145.00,0.9906,3
933,-6165.00,0.9888,3
934,-6185.00,0.9888,3
935,-6205.00,0.9888,3
936,-6225.00,0.9870,3
937,-6245.00,0.9870,3
938,-6265.00,0.9852,3
939,-6285.00,0.9834,3
940,-6305.00,0.9815,3
941,-6325.00,0.9834,3
942,-6345.00,0.9835,3
943,-6365.00,0.9817,3
944,-6385.00,0.9799,3
945,-6405.00,0.9781,3
946,-6425.00,0.9781,3
947,-6445.00,0.9763,3
948,-6465.00,0.9745,3
949,-6485.00,0.9746,3
950,-6505.00,0.9746,3
951,-6525.00,0.9729,3
952,-6545.00,0.9729,3
953,-6565.00,0.9712,3
954,-6585.00,0.9694,3
955,-6605.00,0.9695,3
956,-6625.00,0.9677,3
957,-6645.00,0.9678,3
958,-6665.00,0.9661,3
959,-6685.00,0.9643,3
960,-6705.00,0.9626,3
961,-6725.00,0.9627,3
962,-6745.00,0.9610,3
963,-6765.00,0.9611,3
964,-6785.00,0.9594,3
965,-6805.00,0.9577,3
966,-6825.00,0.9560,3
967,-6845.00,0.9543,3
968,-6865.00,0.9526,3
969,-6885.00,0.9527,3
970,-6905.00,0.9510,3
971,-6925.00,0.9494,3
972,-6945.00,0.9495,3
973,-6965.00,0.9478,3
974,-6985.00,0.9462,3
975,-7005.00,0.9445,3
976,-7025.00,0.9464,3
977,-7045.00,0.9447,3
978,-7065.00,0.9448,3
979,-7085.00,0.9466,3
