z,our_nonzero,comp_nonzero,our_density,comp_density,abs_density_diff,xor_nonzero
252,10817,10901,0.105634765625,0.106455078125,0.000820312500,92
253,10872,10954,0.106171875000,0.106972656250,0.000800781250,104
254,10882,10969,0.106269531250,0.107119140625,0.000849609375,103
255,10839,10922,0.105849609375,0.106660156250,0.000810546875,99
256,10890,10955,0.106347656250,0.106982421875,0.000634765625,83
257,10905,10956,0.106494140625,0.106992187500,0.000498046875,75
258,10960,11017,0.107031250000,0.107587890625,0.000556640625,93
259,10986,11055,0.107285156250,0.107958984375,0.000673828125,89
260,11049,11124,0.107900390625,0.108632812500,0.000732421875,91
261,11084,11162,0.108242187500,0.109003906250,0.000761718750,96
262,11116,11177,0.108554687500,0.109150390625,0.000595703125,79
263,11125,11199,0.108642578125,0.109365234375,0.000722656250,102
264,11145,11214,0.108837890625,0.109511718750,0.000673828125,79
265,11180,11258,0.109179687500,0.109941406250,0.000761718750,94
266,11161,11253,0.108994140625,0.109892578125,0.000898437500,94
267,11172,11243,0.109101562500,0.109794921875,0.000693359375,107
268,11226,11294,0.109628906250,0.110292968750,0.000664062500,102
269,11346,11424,0.110800781250,0.111562500000,0.000761718750,86
270,11512,11584,0.112421875000,0.113125000000,0.000703125000,98
271,11581,11667,0.113095703125,0.113935546875,0.000839843750,94
272,11705,11782,0.114306640625,0.115058593750,0.000751953125,103
273,11796,11885,0.115195312500,0.116064453125,0.000869140625,117
274,11912,12012,0.116328125000,0.117304687500,0.000976562500,116
275,12032,12123,0.117500000000,0.118388671875,0.000888671875,111
276,12150,12276,0.118652343750,0.119882812500,0.001230468750,130
277,12240,12383,0.119531250000,0.120927734375,0.001396484375,145
278,12316,12458,0.120273437500,0.121660156250,0.001386718750,148
279,12364,12498,0.120742187500,0.122050781250,0.001308593750,146
280,12400,12546,0.121093750000,0.122519531250,0.001425781250,158
281,12405,12544,0.121142578125,0.122500000000,0.001357421875,151
282,12335,12459,0.120458984375,0.121669921875,0.001210937500,152
283,12255,12399,0.119677734375,0.121083984375,0.001406250000,150
284,12363,12526,0.120732421875,0.122324218750,0.001591796875,169
285,12520,12664,0.122265625000,0.123671875000,0.001406250000,150
286,12562,12716,0.122675781250,0.124179687500,0.001503906250,174
287,12539,12711,0.122451171875,0.124130859375,0.001679687500,178
288,12493,12628,0.122001953125,0.123320312500,0.001318359375,145
289,12462,12621,0.121699218750,0.123251953125,0.001552734375,173
290,12382,12575,0.120917968750,0.122802734375,0.001884765625,207
291,12429,12609,0.121376953125,0.123134765625,0.001757812500,190
292,12515,12660,0.122216796875,0.123632812500,0.001416015625,169
293,12609,12785,0.123134765625,0.124853515625,0.001718750000,210
294,12574,12785,0.122792968750,0.124853515625,0.002060546875,231
295,12506,12707,0.122128906250,0.124091796875,0.001962890625,219
296,12461,12693,0.121689453125,0.123955078125,0.002265625000,250
297,12499,12706,0.122060546875,0.124082031250,0.002021484375,221
298,12471,12678,0.121787109375,0.123808593750,0.002021484375,225
299,12497,12728,0.122041015625,0.124296875000,0.002255859375,245
300,12529,12746,0.122353515625,0.124472656250,0.002119140625,229
301,12587,12802,0.122919921875,0.125019531250,0.002099609375,241
302,12534,12729,0.122402343750,0.124306640625,0.001904296875,219
303,12529,12688,0.122353515625,0.123906250000,0.001552734375,189
304,12560,12727,0.122656250000,0.124287109375,0.001630859375,213
305,12615,12778,0.123193359375,0.124785156250,0.001591796875,195
306,12629,12807,0.123330078125,0.125068359375,0.001738281250,202
307,12600,12762,0.123046875000,0.124628906250,0.001582031250,178
308,12682,12840,0.123847656250,0.125390625000,0.001542968750,178
309,12708,12869,0.124101562500,0.125673828125,0.001572265625,183
310,12788,12962,0.124882812500,0.126582031250,0.001699218750,190
311,12876,13026,0.125742187500,0.127207031250,0.001464843750,174
312,12955,13163,0.126513671875,0.128544921875,0.002031250000,236
313,12936,13130,0.126328125000,0.128222656250,0.001894531250,224
314,12863,13044,0.125615234375,0.127382812500,0.001767578125,211
315,12764,12970,0.124648437500,0.126660156250,0.002011718750,236
316,12621,12819,0.123251953125,0.125185546875,0.001933593750,234
317,0,0,0.000000000000,0.000000000000,0.000000000000,0
318,0,0,0.000000000000,0.000000000000,0.000000000000,0
319,0,0,0.000000000000,0.000000000000,0.000000000000,0
